      Step     Time          Energy          fmax
BFGS:    0 18:48:11   -10594.629442        2.505588
BFGS:    1 18:51:24   -10594.726402        1.397294
BFGS:    2 18:54:00   -10594.773556        0.450438
BFGS:    3 18:55:41   -10594.787671        0.376691
BFGS:    4 18:57:30   -10594.798795        0.269506
BFGS:    5 18:59:12   -10594.804158        0.234562
BFGS:    6 19:00:54   -10594.810160        0.220942
BFGS:    7 19:02:49   -10594.815128        0.221542
BFGS:    8 19:04:35   -10594.820060        0.219932
BFGS:    9 19:06:26   -10594.825302        0.207581
BFGS:   10 19:08:29   -10594.831725        0.216373
BFGS:   11 19:09:55   -10594.839137        0.248696
BFGS:   12 19:11:23   -10594.846425        0.207397
BFGS:   13 19:12:30   -10594.852107        0.133759
BFGS:   14 19:13:49   -10594.856119        0.139758
BFGS:   15 19:14:48   -10594.859300        0.121645
BFGS:   16 19:15:42   -10594.861766        0.088937
BFGS:   17 19:16:40   -10594.863261        0.113857
BFGS:   18 19:17:35   -10594.863996        0.166965
BFGS:   19 19:18:33   -10594.864836        0.052474
BFGS:   20 19:19:26   -10594.865404        0.034448
