      Step     Time          Energy          fmax
BFGS:    0 18:09:17    -3167.982073        0.893941
BFGS:    1 18:09:47    -3167.993193        0.778803
BFGS:    2 18:10:22    -3167.991223        1.210609
BFGS:    3 18:10:50    -3167.996564        0.155895
BFGS:    4 18:11:12    -3167.997594        0.099672
BFGS:    5 18:11:54    -3167.999251        0.137050
BFGS:    6 18:12:36    -3167.999490        0.058475
BFGS:    7 18:13:10    -3167.999581        0.016412
BFGS:    8 18:13:30    -3167.999602        0.018059
BFGS:    9 18:13:56    -3167.999605        0.006196
BFGS:   10 18:14:10    -3167.999605        0.000778
